Group,Autocorrelation_Lag1
1,-0.010141010141010142
2,-0.000513000513000513
3,0.002793002793002793
4,0.003961003961003961
5,0.006555006555006555
6,0.005977005977005977
7,0.00811900811900812
8,0.006449006449006449
9,0.010745010745010745
10,0.010093010093010092
11,0.00961900961900962
12,0.008539008539008538
13,0.009197009197009196
14,0.004759004759004759
15,0.00903900903900904
16,0.0104010104010104
17,0.008319008319008319
18,0.008289008289008288
19,0.007857007857007856
20,0.00971100971100971
21,0.00795100795100795
22,0.009105009105009105
23,0.008861008861008862
24,0.008131008131008132
25,0.007693007693007693
26,0.008733008733008732
27,0.010781010781010781
28,0.011075011075011075
29,0.01138101138101138
30,0.009021009021009021
31,0.010781010781010781
32,0.00929100929100929
33,0.008563008563008564
34,0.009965009965009965
35,0.012067012067012066
36,0.00991900991900992
37,0.009957009957009957
38,0.01096101096101096
39,0.00845100845100845
40,0.009807009807009806
41,0.009885009885009885
42,0.009231009231009231
43,0.01071101071101071
44,0.009571009571009571
45,0.009877009877009877
46,0.01031101031101031
47,0.008185008185008185
48,0.008897008897008897
49,0.012821012821012822
50,0.009815009815009814
51,0.012983012983012982
52,0.009693009693009694
53,0.01160901160901161
54,0.011101011101011101
55,0.01177901177901178
56,0.008443008443008443
57,0.006981006981006981
58,0.008603008603008604
59,0.010789010789010789
60,0.010429010429010429
61,0.009207009207009207
62,0.011507011507011507
63,0.010639010639010639
64,0.010443010443010443
65,0.008539008539008538
66,0.010315010315010314
67,0.01202901202901203
68,0.007791007791007791
69,0.009017009017009017
70,0.008961008961008961
71,0.009073009073009073
72,0.010759010759010758
73,0.008455008455008454
74,0.009523009523009524
75,0.009783009783009783
76,0.01018901018901019
77,0.009987009987009987
78,0.008539008539008538
79,0.011541011541011541
80,0.009273009273009274
81,0.010119010119010119
82,0.010197010197010197
83,0.010987010987010987
84,0.014205014205014205
85,0.012001012001012001
86,0.0087010087010087
87,0.011807011807011807
88,0.007883007883007883
89,0.007815007815007815
90,0.012225012225012225
91,0.009849009849009849
92,0.008947008947008946
93,0.011173011173011173
94,0.010215010215010215
95,0.008235008235008235
96,0.009933009933009933
97,0.010995010995010995
98,0.011309011309011309
99,0.010161010161010162
100,0.00876900876900877
